"word","n"
"1st pregnancy",3
"2 3",3
"2 avoid",3
"2 prevent",3
"2 times",3
"20 00",3
"2018 03",3
"21 yrs",3
"22 yrs",3
"3 5",3
"3 mounths",3
"3days ago",3
"3month family",3
"3months ago",3
"3year implant",3
"3yrs family",3
"4 family",3
"4 times",3
"4months baby",3
"9 00",3
"9am 6pm",3
"abnormal children",3
"abnormal pain",3
"abortion methods",3
"actual dates",3
"advice people",3
"affect birth",3
"affect body",3
"affect females",3
"affect hormones",3
"affect periods",3
"affect sperm",3
"affect women",3
"affects reproductive",3
"affordable family",3
"age difference",3
"alivisit doctor",3
"answer specific",3
"answr myquestn",3
"approach women",3
"arvs drugs",3
"asexually transmitted",3
"aslo feel",3
"august 2018",3
"aunty jane",3
"average time",3
"avoid giving",3
"baby born",3
"baby daddy",3
"baby dell",3
"baby start",3
"bacterial infections",3
"bacterial sti's",3
"bacterial vaginosis",3
"bad 2",3
"barren people",3
"bear kids",3
"bearing age",3
"beatiful ladies",3
"bed performance",3
"birth controls",3
"bleeding continues",3
"bleeding gum",3
"bleeding stopped",3
"blood cancer",3
"blood shed",3
"bloody discharge",3
"body massage",3
"born baby",3
"break nowadays",3
"breast milk",3
"bring hiv",3
"burning question",3
"called depo",3
"cancer affect",3
"cancer controlled",3
"causing cervical",3
"chest pain",3
"choose implant",3
"chronic masturbation",3
"circumsicion reduces",3
"coca cola",3
"coils nrw1bcepa",3
"collect feedback",3
"common health",3
"common sign",3
"common symptoms",3
"conceive immediately",3
"conceive twins",3
"condom safe",3
"condoms healthy",3
"conducting family",3
"contact sti",3
"continue taking",3
"contraceptive device",3
"contraceptive patch",3
"contraceptives method",3
"contraceptives pills",3
"contraceptives sexual",3
"contract sti",3
"control cramps",3
"control sexual",3
"controlling pregnancy",3
"copper coil",3
"cord prolapse",3
"cure hiv",3
"cyst 2cm",3
"da coil",3
"date 10",3
"date 18",3
"date 5",3
"date 6",3
"date 7",3
"december 2016",3
"delivery date",3
"depo affect",3
"desease called",3
"dick size",3
"discharge smells",3
"dispensary located",3
"doctor require",3
"eat pepper",3
"effective family",3
"emergency pils",3
"esther hekima",3
"exact age",3
"excess bleeding",3
"expectant mothers",3
"experience crumps",3
"experience itching",3
"experience lower",3
"experience menopause",3
"experience menses",3
"experience pains",3
"experience signs",3
"experience stomach",3
"experience wet",3
"experiencing bad",3
"experiencing cramps",3
"experiencing wet",3
"expire date",3
"family issues",3
"fammily planning",3
"fast time",3
"faster ejaculation",3
"feel bad",3
"feel comfortable",3
"feel dizzy",3
"feel headache",3
"feel painful",3
"feel satisfied",3
"feeling cramps",3
"feeling headach",3
"fero a5000",3
"fertile period",3
"fertility drugs",3
"fertility window",3
"fil pain",3
"flat tummy",3
"foetus starts",3
"fp pills",3
"free condom",3
"frequent headache",3
"frequent urinating",3
"funny smell",3
"future life",3
"genital herps",3
"girl bleeds",3
"girl breaks",3
"girl loves",3
"girl wet",3
"girls feal",3
"grow bigger",3
"grow thin",3
"growing thin",3
"hard sex",3
"harmful effect",3
"health effect",3
"health entails",3
"health means",3
"health sexual",3
"healthcare professional",3
"healthy diet",3
"healthy sexual",3
"heavy cramps",3
"heavy menses",3
"herbal family",3
"highway clinic",3
"hiv possitive",3
"hiv prevention",3
"home remedies",3
"hormanal imbalance",3
"hormonal implant",3
"hormone imbalance",3
"immature babies",3
"inborn trait",3
"incubation period",3
"injection affect",3
"injection contraceptive",3
"injection family",3
"injection pills",3
"intrauterine contraceptive",3
"irregular flow",3
"istart pills",3
"iud coil",3
"january 2017",3
"killer disease",3
"kissing transmit",3
"kisumu county",3
"ku bleed",3
"kunyuhillary gmail",3
"kutumia family",3
"kwa private",3
"labour pains",3
"lactating mother",3
"ladie whos",3
"ladies affect",3
"ladies pussy",3
"ladies shy",3
"lady feel",3
"laser treatment",3
"late periods",3
"latex allergy",3
"left breast",3
"light periods",3
"limit pregnancy",3
"loose appetite",3
"lose sexual",3
"lose weight",3
"love relationship",3
"low blood",3
"lower backache",3
"lower libido",3
"main campus",3
"main effect",3
"makes people",3
"male child",3
"male circumsicion",3
"male friend",3
"male gender",3
"male person",3
"man's penis",3
"marie stopes",3
"marriage life",3
"marriages break",3
"masterbation affect",3
"mature birth",3
"medical abortion",3
"medical centre",3
"medical check",3
"medical conditions",3
"medical facilities",3
"men's health",3
"menopause begin",3
"menstrual process",3
"mensturation flow",3
"mensuration period",3
"method affect",3
"microgynon pills",3
"mimi niko",3
"miss period",3
"missing period",3
"monthy period",3
"montly period",3
"mother deliver",3
"musterbation affect",3
"nataka kujua",3
"nataka kutumia",3
"natumia implant",3
"nearest clinic",3
"nearest clinics",3
"nearest health",3
"nearest hospital",3
"negative impact",3
"nice night",3
"night time",3
"nina shida",3
"normal 2",3
"normal delivery",3
"odour coming",3
"odour smell",3
"office located",3
"onother question",3
"oral pills",3
"ovulation times",3
"p2 contraceptives",3
"p2 frequently",3
"p2 regularly",3
"pain inside",3
"painful period",3
"painful pimple",3
"panga uzazi",3
"partner's safe",3
"past periods",3
"pata mimba",3
"pelvic inflammation",3
"penis enlargement",3
"penis shrinks",3
"people grow",3
"period date",3
"period delay",3
"period delayed",3
"period starts",3
"period stop",3
"period yangu",3
"periods 13",3
"periods changed",3
"periods late",3
"periods occurs",3
"periods stops",3
"physical appearance",3
"pill contraceptive",3
"pill femiplan",3
"pill p2",3
"pills 100",3
"pills delay",3
"pills femiplan",3
"pills harmful",3
"pills prevents",3
"pills reduce",3
"planning effective",3
"planning process",3
"planning program",3
"planning programme",3
"planning techniques",3
"play safe",3
"position 2",3
"positive response",3
"practice sex",3
"preferred pills",3
"pregnacy test",3
"pregnancy control",3
"pregnancy immediately",3
"pregnancy incase",3
"pregnancy recently",3
"pregnancy stage",3
"pregnancy text",3
"pregnant easily",3
"pregnant incase",3
"pregnant person",3
"premature birth",3
"prep prevent",3
"prep prevents",3
"prevent sexual",3
"preventing breast",3
"preventing child",3
"promised 200",3
"recommended family",3
"reduce belly",3
"reduce period",3
"regain fertility",3
"regular cycle",3
"regular menses",3
"release faster",3
"release sperm",3
"reliable family",3
"remain inside",3
"remove coil",3
"reproductive age",3
"reproductive disease",3
"reproductive diseases",3
"safe contraceptive",3
"safest sex",3
"saturday 3",3
"school girl",3
"sema 830",3
"severe period",3
"severe side",3
"sex 2",3
"sex 4r",3
"sex addict",3
"sex anymore",3
"sex anytime",3
"sex b4",3
"sex blood",3
"sex enjoyable",3
"sex organ",3
"sex partner",3
"sex prevent",3
"sex process",3
"sex style",3
"sex styles",3
"sex time",3
"sex untill",3
"sexual act",3
"sexual contact",3
"sexual harrassment",3
"sexual heath",3
"sexual hormones",3
"sexually transmited",3
"shinda mamili",3
"side efect",3
"smelling fresh",3
"smelly discharges",3
"smooth sex",3
"solid form",3
"someones health",3
"sore breasts",3
"spend time",3
"start dating",3
"start experiencing",3
"start giving",3
"start itching",3
"start periods",3
"start receiving",3
"started receiving",3
"started yesterday",3
"starts kicking",3
"std infection",3
"sti's diseases",3
"stl waiting",3
"stop breastfeeding",3
"stop cramps",3
"stop masturbation",3
"stop stimulation",3
"stop taking",3
"stress affect",3
"suitable contraceptive",3
"syphilis affect",3
"takes time",3
"teenage girl",3
"temporary infertility",3
"tender age",3
"term side",3
"test positive",3
"testecal pain",3
"testing kit",3
"text message",3
"thick blood",3
"time expectant",3
"time mensuration",3
"time painful",3
"time sex",3
"treat yeast",3
"treating fibroids",3
"tunukiwa promotion",3
"ua pregnant",3
"umblical cord",3
"unaeza tumia",3
"undergo family",3
"undergo sex",3
"unmarried ladies",3
"urinating frequently",3
"uterine wall",3
"vagina clean",3
"vagina produces",3
"vaginal cancer",3
"vaginal health",3
"vasectomy method",3
"vigorous exercise",3
"visible signs",3
"voucher ksh",3
"voucher nr6ixooiz",3
"wear condoms",3
"wearing tight",3
"weather affect",3
"weight gaining",3
"weiss baby",3
"white varginal",3
"whitish vaginal",3
"whos lips",3
"wich method",3
"wife delivered",3
"withdraw method",3
"woman's fertility",3
"women conceive",3
"women love",3
"women overbleed",3
"women scream",3
"women sexual",3
"women's body",3
"yellowish fluid",3
"zina side",3
"0ne family",2
"1 2",2
"1 5",2
"10 00",2
"10 2018",2
"10 yrs",2
"100 accurate",2
"11 17",2
"113 28",2
"13 yrs",2
"14th october",2
"15 methods",2
"17 yrs",2
"18 21",2
"19 yrs",2
"19years female",2
"1or 2",2
"1st 3days",2
"1st period",2
"1st sign",2
"1st time",2
"1year ago",2
"2 apps",2
"2 count",2
"2 kids",2
"2 luck",2
"2 meet",2
"2 remain",2
"2 wks",2
"2 women",2
"2 yrs",2
"20 22",2
"20 30",2
"2016 january",2
"2017 august",2
"21 32",2
"24 yrs",2
"25th dec",2
"26 1",2
"27th july",2
"28 cycle",2
"28 tablets",2
"28days pills",2
"2months 2017",2
"2months ago",2
"3 30pm",2
"3 4days",2
"3 children",2
"3 mins",2
"3 pregnancy",2
"32 fertiles",2
"3months depo",2
"3months pregnant",2
"3years implant",2
"4 2wks",2
"4 3yrs",2
"4 sex",2
"4 sexual",2
"4 women",2
"4mnths pregnant",2
"4months pregnant",2
"5 4",2
"5 surgeries",2
"5th september",2
"5yr method",2
"6 7",2
"6 wks",2
"60 mg",2
"60 yrs",2
"6months pregnant",2
"7 10",2
"8 2",2
"8 20",2
"8month pregnant",2
"9am 9pm",2
"ababy girl",2
"abdominals pains",2
"abdominol pain",2
"abnormal abdominal",2
"abnormal menstruation",2
"abnormal period",2
"abnormal periods",2
"abortion affect",2
"abortion lead",2
"abortion leads",2
"abortion pill",2
"abortion pills",2
"abrupt breast",2
"access family",2
"acquire sexual",2
"ad antill",2
"ad date",2
"advanced age",2
"adverse effects",2
"advisable method",2
"aerobic activity",2
"afamily planing",2
"affect future",2
"affect human",2
"affect ladies",2
"affect ladys",2
"affect people",2
"affect private",2
"affect someones",2
"affecting male",2
"affecting people",2
"affecting women",2
"affects fertility",2
"affects pregnancy",2
"affects reproduction",2
"affects women",2
"aftr periods",2
"age gap",2
"age women",2
"aged 22",2
"agirl friend",2
"aids career",2
"aids infection",2
"aids positive",2
"aint coming",2
"alafu ikuaffect",2
"amblical cord",2
"anainsist sana",2
"ananda marga",2
"anataka sex",2
"anormal period",2
"answer mah",2
"answer pregnancy",2
"answer question",2
"answering questions",2
"antenatal care",2
"antifungal cream",2
"apear aftr",2
"aperfect relationship",2
"aperson whos",2
"apply oil",2
"applying family",2
"approaching women",2
"approximate price",2
"apps flo",2
"ar wet",2
"artesum 60",2
"asharp object",2
"assured safe",2
"at3 15pm",2
"atleast 2",2
"atracking boys",2
"attend medical",2
"attend periods",2
"attending clinic",2
"attending mp",2
"attent clinic",2
"autoimmune disease",2
"average penis",2
"average size",2
"avoid bad",2
"avoid cancer",2
"avoid contracting",2
"avoid impregnating",2
"avoid infections",2
"avoid stis",2
"avoid vaginal",2
"avoiding cancer",2
"avoiding stis",2
"awoman age",2
"b4 giving",2
"b4 marriage",2
"bacteria infection",2
"bacterial diseases",2
"bad effects",2
"bad lack",2
"bad luck",2
"balance food",2
"balance hormones",2
"bear children",2
"belly pain",2
"betting tips",2
"bidens pilosa",2
"biology teaches",2
"birth 2",2
"birth affect",2
"birth completely",2
"birth rate",2
"bleed excessively",2
"bleed sana",2
"bleeding 2",2
"bleeding caused",2
"bleeding excess",2
"bleeding happen",2
"bleeding headache",2
"bleeding stop",2
"blood cloats",2
"blood clotting",2
"blood discharge",2
"blood sports",2
"blood spot",2
"blue litmus",2
"bo bo",2
"body fluids",2
"body health",2
"body pain",2
"body temperature",2
"body weaknes",2
"body weakness",2
"boll sa",2
"boosting one's",2
"born babies",2
"bowel movement",2
"boy wch",2
"boyfriend touches",2
"breaks bcz",2
"breast erection",2
"breast limit",2
"breast lumps",2
"breast painful",2
"breastfeeding baby",2
"breastfeeding mom",2
"breastfeeding mother",2
"breastfeeding mothers",2
"breastfeeding mum",2
"breasts limits",2
"brest cancer",2
"briefly describe",2
"briefly explain",2
