"genAge","word","n"
"Men, 20-24","lubricant",9
"Men, 20-24","mate",9
"Men, 20-24","medical",9
"Men, 20-24","miscarriage",9
"Men, 20-24","natural",9
"Men, 20-24","occur",9
"Men, 20-24","perform",9
"Men, 20-24","purpose",9
"Men, 20-24","research",9
"Men, 20-24","sick",9
"Men, 20-24","situation",9
"Men, 20-24","spend",9
"Men, 20-24","st",9
"Men, 20-24","tire",9
"Men, 20-24","touch",9
"Men, 20-24","transmission",9
"Men, 20-24","virginal",9
"Men, 20-24","word",9
"Men, 20-24","yesterday",9
"Men, 25-35","bad",9
"Men, 25-35","chance",9
"Men, 25-35","doctor",9
"Men, 25-35","herpes",9
"Men, 25-35","ht",9
"Men, 25-35","impregnate",9
"Men, 25-35","injection",9
"Men, 25-35","kiss",9
"Men, 25-35","late",9
"Men, 25-35","lead",9
"Men, 25-35","night",9
"Men, 25-35","reason",9
"Men, 25-35","reproductive health",9
"Men, 25-35","risk",9
"Men, 25-35","round",9
"Men, 25-35","sire",9
"Men, 25-35","smell",9
"Men, 25-35","stomach",9
"Men, 25-35","uti",9
"Men, 25-35","virus",9
"Men, 15-19","cervical",8
"Men, 15-19","count",8
"Men, 15-19","detect",8
"Men, 15-19","doctor",8
"Men, 15-19","drug",8
"Men, 15-19","effective",8
"Men, 15-19","female condoms",8
"Men, 15-19","free",8
"Men, 15-19","future",8
"Men, 15-19","gal",8
"Men, 15-19","herpes",8
"Men, 15-19","impregnate",8
"Men, 15-19","jakadala",8
"Men, 15-19","low",8
"Men, 15-19","patner",8
"Men, 15-19","people",8
"Men, 15-19","premature",8
"Men, 15-19","remove",8
"Men, 15-19","result",8
"Men, 15-19","short",8
"Men, 15-19","suffer",8
"Men, 15-19","suppose",8
"Men, 15-19","term",8
"Men, 15-19","test",8
"Men, 15-19","understand",8
"Men, 15-19","virus",8
"Men, 15-19","wet",8
"Men, 15-19","wn",8
"Men, 15-19","worry",8
"Men, 20-24","addiction",8
"Men, 20-24","afraid",8
"Men, 20-24","assistance",8
"Men, 20-24","breastfeed",8
"Men, 20-24","bye",8
"Men, 20-24","check",8
"Men, 20-24","correct",8
"Men, 20-24","county",8
"Men, 20-24","decide",8
"Men, 20-24","feedback",8
"Men, 20-24","form",8
"Men, 20-24","geting",8
"Men, 20-24","growth",8
